upc,cedis,cluster,model,origin,protection_period_days,on_hand_as_of,sales_after_snapshot,on_hand_projected,demand_p50,demand_p90,demand_mean,service_level_target,safety_stock_policy,safety_stock_quantile,safety_stock,safety_stock_binding,order_up_to,moq,order_qty,implied_service_level,expected_fill_rate,expected_lost_sales,days_of_cover_after_order,unit_value,working_capital,stock_value_after_order,ma4_order_qty,ma4_service_level,ma4_expected_lost_sales,ma4_working_capital,ly_order_qty,ly_service_level,ly_working_capital,delta_working_capital_vs_ma4,delta_service_level_vs_ma4,delta_lost_sales_vs_ma4,fq_order_up_to,fq_order_qty,fq_service_level,fq_expected_lost_sales,fq_working_capital,target_stock_value,fq_target_stock_value,flags
750101310550,CMD2,B-Y,lgbm,2026-03-30,14,22406.0000,11051.3820,11354.6180,41422.6436,49035.8959,41783.2035,0.9000,20711.3218,7613.2523,20711.3218,policy_days,62133.9654,100,50800.0000,0.9990,0.9999,2.4148,21.0070,25.4050,1290574.1795,1579038.2893,49600.0000,0.9983,4.0046,1260088.1752,57200.0000,0.9999,1453166.2021,30486.0042,0.0006,-1.5898,49035.8959,37700.0000,0.9005,321.3543,957768.6332,1578513.6093,1245757.1084,
750101310550,CMTY,B-Y,lgbm,2026-03-30,14,19925.0000,4380.5318,15544.4682,17826.3735,19708.4661,17881.1291,0.9000,8913.1868,1882.0925,8913.1868,policy_days,26739.5603,100,11200.0000,1.0000,1.0000,0.0000,21.0039,24.6821,276439.5163,660109.6288,8900.0000,1.0000,0.0121,219670.6870,9300.0000,1.0000,229543.5269,56768.8292,0.0000,-0.0121,19708.4661,4200.0000,0.9040,71.9976,103664.8186,659988.4921,486446.3234,
750101310550,MXLI,B-Y,lgbm,2026-03-30,14,21192.0000,973.4532,20218.5468,3506.8642,3974.2867,3523.6186,0.9000,1753.4321,467.4225,1753.4321,policy_days,5260.2964,100,0.0000,1.0000,1.0000,0.0000,80.7159,25.0843,0.0000,507168.6694,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,3974.2867,0.0000,1.0000,0.0000,0.0000,131951.0023,99692.3143,
750101310550,TLJ,B-Y,lgbm,2026-03-30,14,20704.0000,3448.2316,17255.7684,14411.9066,16744.0205,14510.9469,0.9000,7205.9533,2332.1139,7205.9533,policy_days,21617.8600,100,4400.0000,0.9997,1.0000,0.1655,21.0368,25.1828,110804.2210,545352.3983,2700.0000,0.9973,1.9590,67993.4993,4300.0000,0.9997,108285.9433,42810.7218,0.0025,-1.7935,16744.0205,0.0000,0.9381,56.6936,0.0000,544397.7577,421660.9429,
750101310550,VHSA,B-Y,lgbm,2026-03-30,14,21832.0000,4582.7315,17249.2685,16750.4180,20249.9530,16934.9934,0.9000,8375.2090,3499.5350,8375.2090,policy_days,25125.6270,100,7900.0000,0.9970,0.9998,3.5505,21.0198,24.6394,194651.4994,619663.6480,8100.0000,0.9974,2.9927,199579.3854,4300.0000,0.9556,105949.5503,-4927.8861,-0.0005,0.5579,20249.9530,3100.0000,0.9057,141.5228,76382.2339,619081.1345,498947.3046,
750101310555,CCUL,B-Y,lgbm,2026-03-30,14,1767.0000,28.0000,1739.0000,110.4217,181.0450,118.9535,0.9000,55.2108,70.6233,70.6233,forecast_quantile,181.0450,100,0.0000,1.0000,1.0000,0.0000,220.4820,44.8098,0.0000,77924.2606,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,181.0450,0.0000,1.0000,0.0000,0.0000,8112.5940,8112.5940,
750101310555,CMTY,B-Y,lgbm,2026-03-30,14,1759.0000,110.0000,1649.0000,607.0551,863.9892,630.5185,0.9000,303.5276,256.9341,303.5276,policy_days,910.5827,100,0.0000,0.9999,1.0000,0.0169,38.0295,44.0920,0.0000,72707.7635,0.0000,0.9999,0.0169,0.0000,700.0000,1.0000,30864.4236,0.0000,0.0000,0.0000,863.9892,0.0000,0.9999,0.0169,0.0000,40149.4416,38095.0416,
750101310555,MXLI,B-Y,lgbm,2026-03-30,14,2317.0000,38.0000,2279.0000,137.9624,222.3647,147.8721,0.9000,68.9812,84.4023,84.4023,forecast_quantile,222.3647,100,0.0000,1.0000,1.0000,0.0000,231.2659,44.4384,0.0000,101275.1821,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,222.3647,0.0000,1.0000,0.0000,0.0000,9881.5385,9881.5385,
750101310555,TLJ,B-Y,lgbm,2026-03-30,14,2482.0000,47.0000,2435.0000,246.6478,373.5211,259.9259,0.9000,123.3239,126.8733,126.8733,forecast_quantile,373.5211,100,0.0000,1.0000,1.0000,0.0000,138.2133,44.6939,0.0000,108829.7401,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,373.5211,0.0000,1.0000,0.0000,0.0000,16694.1297,16694.1297,
750101310555,VHSA,B-Y,lgbm,2026-03-30,14,1859.0000,29.0000,1830.0000,152.4734,257.7897,165.8278,0.9000,76.2367,105.3164,105.3164,forecast_quantile,257.7897,100,0.0000,1.0000,1.0000,0.0000,168.0294,44.6389,0.0000,81689.1356,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,257.7897,0.0000,1.0000,0.0000,0.0000,11507.4423,11507.4423,
