upc,cedis,h,target_week,q05,q10,q50,q90,q95,model,origin,n_weeks_at_origin,origin_label,cluster,is_discontinued,is_high_promo,is_cold_start
7507891,CCUL,1,2026-04-06,4533.790881480663,4850.324763909037,6163.15467499531,8858.097118400794,9319.102418386605,lgbm,2026-03-30,107,final,C-Z,False,False,False
7507891,CCUL,2,2026-04-13,4494.73920460708,4600.161629807098,6212.767413712008,9467.617837984017,9796.224419642951,lgbm,2026-03-30,107,final,C-Z,False,False,False
7507891,CCUL,3,2026-04-20,4821.22016061558,5150.154944841267,7149.803644463608,9692.63088062347,10051.397157214438,lgbm,2026-03-30,107,final,C-Z,False,False,False
7507891,CCUL,4,2026-04-27,4306.1151481070665,4654.172238984964,6232.821561775018,9925.79183276808,10019.243570671892,lgbm,2026-03-30,107,final,C-Z,False,False,False
7507891,CCUL,5,2026-05-04,3146.1931562547543,4100.547716368696,5594.4194562875355,9047.019379751395,9769.769849798933,lgbm,2026-03-30,107,final,C-Z,False,False,False
7507891,CCUL,6,2026-05-11,2858.6791812367974,3433.7508570990603,5446.069571373225,9439.839412505757,10031.46816037807,lgbm,2026-03-30,107,final,C-Z,False,False,False
7507891,CCUL,7,2026-05-18,3652.337417611902,4675.267894236444,5342.97856324196,6655.145216841471,7763.326966820641,lgbm,2026-03-30,107,final,C-Z,False,False,False
7507891,CCUL,8,2026-05-25,3422.8973033890284,3741.080646398312,5226.088491406856,7106.129929626515,7985.120187101917,lgbm,2026-03-30,107,final,C-Z,False,False,False
7507891,CMD2,1,2026-04-06,36663.07604092768,39955.60552913793,52782.97982060702,73810.5339830328,75907.28784576568,lgbm,2026-03-30,107,final,C-Z,False,False,False
7507891,CMD2,2,2026-04-13,25529.04232851678,39389.692465317275,51578.124962860886,75468.8571184515,110567.5260412663,lgbm,2026-03-30,107,final,C-Z,False,False,False
7507891,CMD2,3,2026-04-20,26685.950426171436,40111.24958252796,58720.26670132891,76271.15872875071,113607.881953871,lgbm,2026-03-30,107,final,C-Z,False,False,False
7507891,CMD2,4,2026-04-27,27110.718943439937,39969.85361231858,57416.82655287415,81616.90735944733,119009.38934472884,lgbm,2026-03-30,107,final,C-Z,False,False,False
7507891,CMD2,5,2026-05-04,20669.23345318301,22042.197835949577,40755.42111896591,78788.0739451802,82565.37302109179,lgbm,2026-03-30,107,final,C-Z,False,False,False
7507891,CMD2,6,2026-05-11,19891.44779683609,21623.438396053294,40077.30708337027,78665.04976714725,82665.52591268529,lgbm,2026-03-30,107,final,C-Z,False,False,False
7507891,CMD2,7,2026-05-18,25229.810790854328,29360.040305135528,39807.07528201855,54705.708831032855,65467.827519738246,lgbm,2026-03-30,107,final,C-Z,False,False,False
7507891,CMD2,8,2026-05-25,20167.611163058657,28141.09665502997,39819.47258794852,55053.45893646189,67707.79630894632,lgbm,2026-03-30,107,final,C-Z,False,False,False
7507891,CMTY,1,2026-04-06,30186.129791245305,32104.862681251856,44638.54736128137,63880.76502183016,68678.64923957316,lgbm,2026-03-30,107,final,C-Z,False,False,False
7507891,CMTY,2,2026-04-13,19518.92839806364,32866.425403346395,43419.35229075287,64490.536546221694,100597.61468348483,lgbm,2026-03-30,107,final,C-Z,False,False,False
7507891,CMTY,3,2026-04-20,19679.957418206242,34104.10275765673,49286.13335513766,68175.91955807802,103208.82758557984,lgbm,2026-03-30,107,final,C-Z,False,False,False
7507891,CMTY,4,2026-04-27,21834.80154881983,32614.08291496271,46476.26752232654,70538.55033958705,104870.89336920003,lgbm,2026-03-30,107,final,C-Z,False,False,False
7507891,CMTY,5,2026-05-04,20278.419044323993,20690.919796573027,35523.72476535401,69640.50452269788,73911.83523527725,lgbm,2026-03-30,107,final,C-Z,False,False,False
7507891,CMTY,6,2026-05-11,18275.54478218351,19086.294994175038,34803.16524657063,70122.16856903867,74262.12886423894,lgbm,2026-03-30,107,final,C-Z,False,False,False
7507891,CMTY,7,2026-05-18,22997.50654023442,27644.47468322343,34745.93672190849,48122.403401495096,58329.80887614894,lgbm,2026-03-30,107,final,C-Z,False,False,False
7507891,CMTY,8,2026-05-25,17905.295060576613,27615.619054266448,35109.76523897252,47666.45750092326,60267.479399984455,lgbm,2026-03-30,107,final,C-Z,False,False,False
7507891,MXLI,1,2026-04-06,3764.2285238236013,4022.399301915955,5709.907459616358,7865.898578871737,7873.916750911072,lgbm,2026-03-30,107,final,C-Z,False,False,False
7507891,MXLI,2,2026-04-13,3830.9682158266974,3952.5346469592077,5990.667460041339,8143.275760199482,8266.65449559881,lgbm,2026-03-30,107,final,C-Z,False,False,False
7507891,MXLI,3,2026-04-20,3837.339390267487,3856.9534719820867,6171.775040153804,8362.129037296707,8523.403519747162,lgbm,2026-03-30,107,final,C-Z,False,False,False
7507891,MXLI,4,2026-04-27,3697.618943128269,3723.4738751681107,6131.13182826088,8821.440379492324,9104.252051004729,lgbm,2026-03-30,107,final,C-Z,False,False,False
