upc,cedis,h,target_week,q05,q10,q50,q90,q95,model,origin,n_weeks_at_origin,origin_label,cluster,is_discontinued,is_high_promo,is_cold_start
7507891,CCUL,1,2026-03-16,5243.947146879923,5731.4969607321655,7838.967034931919,9613.346420061258,10107.876307237852,lgbm,2026-03-09,104,risk_eval,C-Z,False,False,False
7507891,CCUL,2,2026-03-23,5248.871440111387,6268.047986266034,6666.340544594253,7028.004767484485,9536.104162280017,lgbm,2026-03-09,104,risk_eval,C-Z,False,False,False
7507891,CCUL,3,2026-03-30,4554.157766244255,5885.420914601026,6593.032559720203,7466.153792342285,10338.38013844455,lgbm,2026-03-09,104,risk_eval,C-Z,False,False,False
7507891,CCUL,4,2026-04-06,3464.7904898181414,4004.4366547599693,6612.834802752687,9769.735956502078,10331.599495716346,lgbm,2026-03-09,104,risk_eval,C-Z,False,False,False
7507891,CCUL,5,2026-04-13,3638.6210930578736,4408.08844397512,6638.364982442638,9591.412847630749,10412.190017556655,lgbm,2026-03-09,104,risk_eval,C-Z,False,False,False
7507891,CCUL,6,2026-04-20,4446.921514137567,4825.64257963567,6989.275952066224,9372.78233427644,10168.103372260106,lgbm,2026-03-09,104,risk_eval,C-Z,False,False,False
7507891,CCUL,7,2026-04-27,3348.5664195419986,4025.8316976737333,6556.313936610647,9913.360687954975,10814.467138152204,lgbm,2026-03-09,104,risk_eval,C-Z,False,False,False
7507891,CCUL,8,2026-05-04,2098.699550433516,2168.8077579753976,5514.646722748667,9603.719007461581,9662.0254054119,lgbm,2026-03-09,104,risk_eval,C-Z,False,False,False
7507891,CMD2,1,2026-03-16,48284.42623588935,54797.81899806014,66727.05073787214,80125.99295778126,83318.80201900465,lgbm,2026-03-09,104,risk_eval,C-Z,False,False,False
7507891,CMD2,2,2026-03-23,48638.29257158388,56672.11565187173,57384.16743646346,58666.75256676017,77045.3242120042,lgbm,2026-03-09,104,risk_eval,C-Z,False,False,False
7507891,CMD2,3,2026-03-30,45879.16445220064,54984.86330616316,57011.48097511895,60298.99477609484,82190.40407615762,lgbm,2026-03-09,104,risk_eval,C-Z,False,False,False
7507891,CMD2,4,2026-04-06,43874.05985232022,46624.761156212255,59077.78684356025,73457.51032503055,79355.37301174579,lgbm,2026-03-09,104,risk_eval,C-Z,False,False,False
7507891,CMD2,5,2026-04-13,42276.0358066216,47420.84203463431,56527.428340824576,73190.19106022085,80455.4407442724,lgbm,2026-03-09,104,risk_eval,C-Z,False,False,False
7507891,CMD2,6,2026-04-20,45786.45294135292,46950.78165236493,59158.77139594171,73051.63228437818,80763.46288744366,lgbm,2026-03-09,104,risk_eval,C-Z,False,False,False
7507891,CMD2,7,2026-04-27,42923.88898415145,50097.05288056703,59564.57996333444,74151.92605638826,84298.43617386473,lgbm,2026-03-09,104,risk_eval,C-Z,False,False,False
7507891,CMD2,8,2026-05-04,19904.15761032297,21401.196800165675,45866.254615590755,79184.44596840887,79211.55866560477,lgbm,2026-03-09,104,risk_eval,C-Z,False,False,False
7507891,CMTY,1,2026-03-16,44518.828776229886,50549.93506713043,63157.35222531324,73172.93177754902,75978.70297650597,lgbm,2026-03-09,104,risk_eval,C-Z,False,False,False
7507891,CMTY,2,2026-03-23,45096.02466718273,52087.10842935435,52253.57280076178,52607.81116407104,69090.2878925339,lgbm,2026-03-09,104,risk_eval,C-Z,False,False,False
7507891,CMTY,3,2026-03-30,40742.38233007131,47623.318735581495,50934.39022159751,58288.15449360435,72350.99548925705,lgbm,2026-03-09,104,risk_eval,C-Z,False,False,False
7507891,CMTY,4,2026-04-06,31600.811734828414,35555.15743637055,47786.502999324424,72387.22952976152,73206.98338686414,lgbm,2026-03-09,104,risk_eval,C-Z,False,False,False
7507891,CMTY,5,2026-04-13,31392.15086796869,33404.0793683509,47331.21444077356,74569.79220640211,76184.11183431641,lgbm,2026-03-09,104,risk_eval,C-Z,False,False,False
7507891,CMTY,6,2026-04-20,36670.86431699206,38261.63272825578,51586.74101308338,74110.23464374745,74203.70266373089,lgbm,2026-03-09,104,risk_eval,C-Z,False,False,False
7507891,CMTY,7,2026-04-27,31698.009437387685,34699.771192733606,48874.93477390017,78056.95018416853,79496.66257915887,lgbm,2026-03-09,104,risk_eval,C-Z,False,False,False
7507891,CMTY,8,2026-05-04,18986.90680677811,19806.324519153473,39699.69106741054,71500.87523016545,71625.57498734603,lgbm,2026-03-09,104,risk_eval,C-Z,False,False,False
7507891,MXLI,1,2026-03-16,4151.356573538351,4411.45572607042,6531.001845782027,8681.463204351545,8693.199966508975,lgbm,2026-03-09,104,risk_eval,C-Z,False,False,False
7507891,MXLI,2,2026-03-23,4249.393502712833,5051.5897814754735,5732.64123817486,6517.45114645096,8049.503168017005,lgbm,2026-03-09,104,risk_eval,C-Z,False,False,False
7507891,MXLI,3,2026-03-30,3700.0183901030996,4657.633731297058,5658.777810731505,6956.998403494776,8747.96074030166,lgbm,2026-03-09,104,risk_eval,C-Z,False,False,False
7507891,MXLI,4,2026-04-06,3529.540074495879,3711.200684882826,6053.262786224353,8723.637120377494,8819.99191057757,lgbm,2026-03-09,104,risk_eval,C-Z,False,False,False
7507891,MXLI,5,2026-04-13,3558.365673048532,3855.819049284806,6012.222499762301,8708.893304377258,8916.160236276657,lgbm,2026-03-09,104,risk_eval,C-Z,False,False,False
7507891,MXLI,6,2026-04-20,3694.478474359399,3745.810894864376,6023.018448518144,8623.027677232973,8867.427033933429,lgbm,2026-03-09,104,risk_eval,C-Z,False,False,False
7507891,MXLI,7,2026-04-27,3346.788003234242,3602.8212068006696,6182.214403103169,9087.377013777641,9346.788751075643,lgbm,2026-03-09,104,risk_eval,C-Z,False,False,False
7507891,MXLI,8,2026-05-04,1684.0385976604757,1787.0124493065052,4902.802289374567,8481.832948998639,8721.486585960969,lgbm,2026-03-09,104,risk_eval,C-Z,False,False,False
7507891,TLJ,1,2026-03-16,24397.723331393805,26563.57550271651,32429.984724737653,39643.23025588765,40032.18651151956,lgbm,2026-03-09,104,risk_eval,C-Z,False,False,False
7507891,TLJ,2,2026-03-23,23734.663769607712,28066.90464759288,28119.25588732823,28218.900448856253,37656.53636137534,lgbm,2026-03-09,104,risk_eval,C-Z,False,False,False
7507891,TLJ,3,2026-03-30,20439.18773546719,24983.247244595128,27905.315644414844,31512.80892019355,39693.726612302606,lgbm,2026-03-09,104,risk_eval,C-Z,False,False,False
7507891,TLJ,4,2026-04-06,16457.776424641,19988.247705980255,25183.480015747587,34055.37281989698,38926.31767147448,lgbm,2026-03-09,104,risk_eval,C-Z,False,False,False
7507891,TLJ,5,2026-04-13,16985.51466078833,20629.027473484944,24717.47779490725,34132.950467985094,39158.94341131794,lgbm,2026-03-09,104,risk_eval,C-Z,False,False,False
7507891,TLJ,6,2026-04-20,16884.154091883138,19439.091369301957,26025.79277028767,37312.22841666179,41196.06220271413,lgbm,2026-03-09,104,risk_eval,C-Z,False,False,False
7507891,TLJ,7,2026-04-27,17037.31176102431,19998.813812862914,25526.19970745543,37911.8698546849,41474.591324721274,lgbm,2026-03-09,104,risk_eval,C-Z,False,False,False
7507891,TLJ,8,2026-05-04,8631.930414553408,9245.26704745814,20552.944521959722,36999.41656670711,39310.420016358854,lgbm,2026-03-09,104,risk_eval,C-Z,False,False,False
7507891,VHSA,1,2026-03-16,9606.84571224082,10618.478005214805,14073.969363110846,16056.256227878477,16445.294483912337,lgbm,2026-03-09,104,risk_eval,C-Z,False,False,False
7507891,VHSA,2,2026-03-23,9566.362471356553,10958.420776185068,11512.927153174709,12715.088779250853,15709.962221362543,lgbm,2026-03-09,104,risk_eval,C-Z,False,False,False
7507891,VHSA,3,2026-03-30,8388.641782136801,10717.711420714044,11926.145234071042,12483.400417203386,16914.040327442963,lgbm,2026-03-09,104,risk_eval,C-Z,False,False,False
7507891,VHSA,4,2026-04-06,6544.188057067837,7652.891822635311,11389.380804184397,16135.118792205276,16920.145309953677,lgbm,2026-03-09,104,risk_eval,C-Z,False,False,False
7507891,VHSA,5,2026-04-13,6622.5559751415385,7969.84907505689,11168.523498756666,16199.209105014954,17039.43629214479,lgbm,2026-03-09,104,risk_eval,C-Z,False,False,False
7507891,VHSA,6,2026-04-20,8206.468363202841,8939.667504166706,12114.70915101604,15579.03421198229,16670.06363456662,lgbm,2026-03-09,104,risk_eval,C-Z,False,False,False
7507891,VHSA,7,2026-04-27,7847.75371365178,9065.486812722906,12479.192529094556,16150.547191712598,17818.031504262544,lgbm,2026-03-09,104,risk_eval,C-Z,False,False,False
7507891,VHSA,8,2026-05-04,3349.508482347439,3888.561026919228,9670.913506456407,16714.393896776328,17231.0310321867,lgbm,2026-03-09,104,risk_eval,C-Z,False,False,False
61300876519,CMD2,1,2026-03-16,25466.53161088216,29248.86450541039,32134.28316231472,34392.54006952567,37941.8501350033,lgbm,2026-03-09,104,risk_eval,A-Y,False,False,False
61300876519,CMD2,2,2026-03-23,25014.47984208732,27937.47551455359,32098.33373294273,33869.727923209655,36767.1603281597,lgbm,2026-03-09,104,risk_eval,A-Y,False,False,False
61300876519,CMD2,3,2026-03-30,24785.964558860935,28244.796597157758,33756.88695492644,37194.381891435696,39896.72539523043,lgbm,2026-03-09,104,risk_eval,A-Y,False,False,False
61300876519,CMD2,4,2026-04-06,23324.41084395673,27466.924293722845,32682.73035761232,35125.88780483007,39017.42472249809,lgbm,2026-03-09,104,risk_eval,A-Y,False,False,False
61300876519,CMD2,5,2026-04-13,24053.7827190272,28082.228987667913,32558.927049939597,36519.780776349275,40656.13752230876,lgbm,2026-03-09,104,risk_eval,A-Y,False,False,False
61300876519,CMD2,6,2026-04-20,23248.250286379185,27115.697743412395,32841.85600128,35623.99483822286,39814.57078276239,lgbm,2026-03-09,104,risk_eval,A-Y,False,False,False
61300876519,CMD2,7,2026-04-27,24027.401903958405,29587.616956076297,32984.062804240035,35291.00574278851,40659.3536874926,lgbm,2026-03-09,104,risk_eval,A-Y,False,False,False
61300876519,CMD2,8,2026-05-04,21702.748615278724,25689.255002073205,32578.2545979771,35880.27050680786,40079.81713735018,lgbm,2026-03-09,104,risk_eval,A-Y,False,False,False
61300876519,CMTY,1,2026-03-16,17695.649117296965,20282.56093695216,24936.371130196272,30267.02666283964,31938.524119907906,lgbm,2026-03-09,104,risk_eval,A-Y,False,False,False
