model,cluster,n,wape,mape,bias,pinball,coverage_90,coverage_80,width_rel
ets,A-X,384,0.1739746495564675,0.18109929606894193,-0.02909100959283878,0.046566160026911045,0.9348958333333334,0.8880208333333334,0.9942920649212021
ets,A-Y,7296,0.19631150560085,0.20624072357333678,-0.049460472061467205,0.061728197978772624,0.9913651315789473,0.9708059210526315,1.5654021628664219
ets,A-Z,5120,0.27359324249038,0.46432849652476793,-0.10047061030567886,0.07375220635898114,0.913671875,0.8599609375,1.1602681205957532
ets,B-Y,2048,0.17615050020472467,0.16533315218992345,-0.10595735728412217,0.05759164352058456,0.95947265625,0.91748046875,1.0497701217678475
ets,B-Z,5680,0.14321971909652836,1.5724060989307025,-0.03822000660819028,0.03975277760339217,0.9015845070422536,0.8397887323943662,0.7619600092198754
ets,C-Z,384,0.22485639404381555,0.2630707392252238,-0.06965684636072475,0.07086080508404242,1.0,0.9895833333333334,2.1222807224426576
lgbm,A-X,384,0.12474643086337507,0.13657813662417861,-0.03393289734921812,0.036108967447163645,0.78125,0.640625,0.4534924059882773
lgbm,A-Y,7296,0.16535645455527037,0.19647960281573942,-0.0283373763250397,0.04980354364633464,0.7298519736842105,0.5674342105263158,0.4857367014637025
lgbm,A-Z,5120,0.26651004234399506,0.4874055447440566,-0.11990989547758497,0.08727352547952691,0.7064453125,0.5544921875,0.5691080165259795
lgbm,B-Y,2048,0.15089172020116856,0.1570035710526702,-0.06319410003776153,0.047922849436030944,0.73974609375,0.5859375,0.44886989434658925
lgbm,B-Z,5680,0.11424520150104547,0.4784805222724133,-0.04008309417873868,0.03365096834663888,0.754225352112676,0.6160211267605634,0.4665684476840837
lgbm,C-Z,384,0.13739690211933264,0.15592083457634168,-0.05677015750841178,0.04066289186419085,0.78125,0.5755208333333334,0.5687394490501663
ma4,A-X,384,0.17820506936738031,0.1807265036798902,-0.024821584596821485,0.04917782716008938,0.9427083333333334,0.8515625,1.219318363542571
ma4,A-Y,7296,0.21963450201989115,0.22243672884506438,-0.0673863228606182,0.06640115756110375,0.9850603070175439,0.956140350877193,1.7143481449203317
ma4,A-Z,5120,0.31819179670187775,0.6699103196641308,-0.11803851070712222,0.08199979615727229,0.9044921875,0.8380859375,1.2510692811664752
ma4,B-Y,2048,0.23411605787170273,0.18786566749332353,-0.07643657287264802,0.06918935491551526,0.923828125,0.8544921875,1.1072559721749766
ma4,B-Z,5680,0.15827507436414673,0.5712383289037904,-0.03551993971691342,0.044976719593986234,0.8813380281690141,0.7915492957746478,0.7914386055254914
ma4,C-Z,384,0.23521231692743524,0.27731229154960885,-0.105035497623071,0.07591043622036595,1.0,0.9921875,2.1550263989206435
seasonal_naive,A-X,384,0.3091202103239606,0.3727520769844856,0.24352404548781886,0.07280535181584283,0.7239583333333334,0.6171875,0.6139788776064367
seasonal_naive,A-Y,7296,0.6029823272991868,0.536730970024284,0.5497740509672974,0.12243203681018662,0.7774122807017544,0.6695449561403509,1.0569344281940793
seasonal_naive,A-Z,5120,0.6757089137894331,58.743990809331116,0.4941607656803255,0.16923534631560805,0.7376953125,0.637890625,1.086608130738259
seasonal_naive,B-Y,2048,0.24493071937498248,0.3857412059076113,0.16864862402786165,0.0691918924413358,0.75634765625,0.64453125,0.8472956515329555
seasonal_naive,B-Z,5680,0.16252706115271706,2.7830124567123593,0.0450592287542375,0.04349063484704543,0.773943661971831,0.6558098591549296,0.7721643388366863
seasonal_naive,C-Z,384,0.737277641183908,0.6785256398338357,0.731931791610805,0.12526062215988173,0.9505208333333334,0.9114583333333334,1.0953459484175516
