model,n,wape,mape,bias,pinball,coverage_90,coverage_80,width_rel
ets,20912,0.2036800047811099,0.636492448304504,-0.061377939254669674,0.0618920854906812,0.943955623565417,0.9016832440703902,1.1545611787707228
lgbm,20912,0.172504243919796,0.3375472590223125,-0.047551735036016084,0.05303832020735122,0.733597934200459,0.5807670237184391,0.4969891222917676
ma4,20912,0.2307614311108747,0.4219956089037508,-0.07540184533703417,0.06764558905567619,0.9306618209640398,0.8713179035960215,1.2619779156448407
seasonal_naive,20912,0.5587377564302335,15.165429787727017,0.48267938902649515,0.11864928643444825,0.7668802601377199,0.6590952563121653,0.953923399322097
